datetime,atp,wtp
12-05-2012 2300,20.6,23.6
12-06-2012 0000,19.6,23.6
12-06-2012 0100,19.5,23.5
12-06-2012 0200,19.6,23.4
12-06-2012 0300,19.6,23.3
12-06-2012 0400,19.3,23.1
12-06-2012 0500,19.3,22.9
12-06-2012 0600,18.6,22.7
12-06-2012 0700,19.1,22.4
12-06-2012 0800,18.7,22.1
12-06-2012 0900,18.8,22
12-06-2012 1000,16.6,21.9
12-06-2012 1100,14.3,21.8
12-06-2012 1200,13.2,21.7
12-06-2012 1300,13.5,21.6
12-06-2012 1400,13.4,21.5
12-06-2012 1500,15.1,21.4
12-06-2012 1600,16.5,21.3
12-06-2012 1700,18.1,21.5
12-06-2012 1800,19.8,21.9
12-06-2012 1900,21.4,22.3
12-06-2012 2000,21,22.6
12-06-2012 2100,21.5,23
12-06-2012 2200,20.7,23.1
12-06-2012 2300,20.8,23.3
12-07-2012 0000,20.2,23.4
12-07-2012 0100,20.2,23.5
12-07-2012 0200,20.5,23.5
12-07-2012 0300,20.7,23.3
12-07-2012 0400,21,23.2
12-07-2012 0500,21,23.1
12-07-2012 0600,21,22.9
12-07-2012 0700,20.9,22.8
12-07-2012 0800,20.8,22.7
12-07-2012 0900,20.7,22.6
12-07-2012 1000,20.3,22.5
12-07-2012 1100,20.3,22.4
12-07-2012 1200,20.4,22.3
12-07-2012 1300,20.3,22.2
12-07-2012 1400,21.2,22.1
12-07-2012 1500,22.5,22.1
12-07-2012 1600,23.3,22.1
12-07-2012 1700,24.1,22.2
12-07-2012 1800,24.3,22.8
12-07-2012 1900,24.6,23.1
12-07-2012 2000,24.4,23.3
12-07-2012 2100,24.2,23.6
12-07-2012 2200,23.7,23.8
12-07-2012 2300,22.9,23.9
12-08-2012 0000,22.2,23.9
12-08-2012 0100,22.1,23.9
12-08-2012 0200,22.1,23.9
12-08-2012 0300,22,23.9
12-08-2012 0400,21.6,23.8
12-08-2012 0500,21.4,23.7
12-08-2012 0600,21.6,23.6
12-08-2012 0700,21.5,23.5
12-08-2012 0800,21.5,23.4
12-08-2012 0900,21.4,23.4
12-08-2012 1000,21.4,23.3
12-08-2012 1100,21.7,23.2
12-08-2012 1200,21.7,23.2
12-08-2012 1300,22,23.1
12-08-2012 1400,22.3,23.1
12-08-2012 1500,23.5,23.1
12-08-2012 1600,24.3,23.2
12-08-2012 1700,24.1,23.3
12-08-2012 1800,23.9,23.5
12-08-2012 1900,24.6,23.7
12-08-2012 2000,24.5,23.9
12-08-2012 2100,24.6,24.4
12-08-2012 2200,23.8,24.5
12-08-2012 2300,23.3,24.5
12-09-2012 0000,22.8,24.5
12-09-2012 0100,22.8,24.5
12-09-2012 0200,22.7,24.4
12-09-2012 0300,22.6,24.3
12-09-2012 0400,22.7,24.2
12-09-2012 0500,22.3,24.1
12-09-2012 0600,21.9,24
12-09-2012 0700,21.8,24
12-09-2012 0800,22,23.9
12-09-2012 0900,22,23.8
12-09-2012 1000,21.9,23.7
12-09-2012 1100,21.9,23.7
12-09-2012 1200,22.2,23.6
12-09-2012 1300,22.3,23.6
12-09-2012 1400,22.3,23.6
12-09-2012 1500,22.6,23.5
12-09-2012 1600,23.2,23.5
12-09-2012 1700,23.6,23.6
12-09-2012 1800,23.4,23.6
12-09-2012 1900,24,23.8
12-09-2012 2000,24.1,23.9
12-09-2012 2100,24.1,24.1
12-09-2012 2200,23.6,24.2
12-09-2012 2300,23.2,24.3
12-10-2012 0000,23,24.4
12-10-2012 0100,22.8,24.3
12-10-2012 0200,22.7,24.3
12-10-2012 0300,22.8,24.3
12-10-2012 0400,22.9,24.2
12-10-2012 0500,22.6,24.2
12-10-2012 0600,22.5,24.1
12-10-2012 0700,22.4,24.1
12-10-2012 0800,22.3,24
12-10-2012 0900,22.7,24
12-10-2012 1000,22.5,23.9
12-10-2012 1100,18.1,23.9
12-10-2012 1200,16.2,23.6
12-10-2012 1300,15.4,23
12-10-2012 1400,13.1,22
12-10-2012 1500,11.5,21.4
12-10-2012 1600,11.6,20.9
12-10-2012 1700,11.8,20.6
12-10-2012 1800,12.1,20.3
12-10-2012 1900,12,20
12-10-2012 2000,12.2,19.7
12-10-2012 2100,13.1,19.6
12-10-2012 2200,13.7,19.4
12-10-2012 2300,13.9,19.3
12-11-2012 0000,13.9,18.6
12-11-2012 0100,13.9,18.3
12-11-2012 0200,13.6,18
12-11-2012 0300,12.8,17.8
12-11-2012 0400,12.5,17.9
12-11-2012 0500,12,17.1
12-11-2012 0600,11.3,16.3
12-11-2012 0700,10.8,15.8
12-11-2012 0800,9.7,15.6
12-11-2012 0900,9.5,15.2
12-11-2012 1000,9.5,14.7
12-11-2012 1100,9.5,13.7
12-11-2012 1200,9.5,15.2
12-11-2012 1300,9.5,15.6
12-11-2012 1400,9.9,15.2
12-11-2012 1500,9.7,14.6
12-11-2012 1600,9.7,13.6
12-11-2012 1700,9.8,13
12-11-2012 1800,9.6,13.2
12-11-2012 1900,9.9,13.2
12-11-2012 2000,10.1,12.9
12-11-2012 2100,10.2,12.9
12-11-2012 2200,10.5,12.9
12-11-2012 2300,10.7,12.8
12-12-2012 0000,10.3,12.7
12-12-2012 0100,10,12.7
12-12-2012 0200,10.7,12.7
12-12-2012 0300,11.2,12.7
12-12-2012 0400,11.1,12.6
12-12-2012 0500,11.6,12.6
12-12-2012 0600,11.8,12.8
12-12-2012 0700,11.7,13
12-12-2012 0800,10.4,13.1
12-12-2012 0900,9.8,13.1
12-12-2012 1000,10.2,13
12-12-2012 1100,9.3,12.9
12-12-2012 1200,10,12.8
12-12-2012 1300,10.2,12.4
12-12-2012 1400,7.8,12.1
12-12-2012 1500,10.1,12
12-12-2012 1600,10.9,12
12-12-2012 1700,11.2,12.2
12-12-2012 1800,12.2,12.5
12-12-2012 1900,12.5,12.8
12-12-2012 2000,13.3,13.1
12-12-2012 2100,14.3,13.4
12-12-2012 2200,14.4,13.7
12-12-2012 2300,14.6,13.8
12-13-2012 0000,13.6,13.9
12-13-2012 0100,13.5,13.9
12-13-2012 0200,13.7,14
12-13-2012 0300,14.5,14.1
12-13-2012 0400,15.2,14
12-13-2012 0500,15.4,14
12-13-2012 0600,15.3,14
12-13-2012 0700,15,13.9
12-13-2012 0800,15.4,13.9
12-13-2012 0900,15.7,13.8
12-13-2012 1000,15.6,13.7
12-13-2012 1100,15.8,13.5
12-13-2012 1200,16.3,13.5
12-13-2012 1300,15.9,13.4
12-13-2012 1400,17.1,13.3
12-13-2012 1500,18.1,13.3
12-13-2012 1600,18.8,13.4
12-13-2012 1700,19,13.6
12-13-2012 1800,19,14.2
12-13-2012 1900,19,14.3
12-13-2012 2000,19.2,14.5
12-13-2012 2100,19.4,14.8
12-13-2012 2200,19.4,15.2
12-13-2012 2300,19.1,15.4
12-14-2012 0000,19.2,15.5
12-14-2012 0100,19.4,15.5
12-14-2012 0200,19.4,15.6
12-14-2012 0300,19.8,15.6
12-14-2012 0400,19.8,15.7
12-14-2012 0500,19.8,15.7
12-14-2012 0600,19.5,15.8
12-14-2012 0700,19.7,15.9
12-14-2012 0800,19.5,15.9
12-14-2012 0900,19.7,16
12-14-2012 1000,19.6,16
12-14-2012 1100,20.2,15.9
12-14-2012 1200,20.1,15.9
12-14-2012 1300,20.1,16
12-14-2012 1400,20,16.1
12-14-2012 1500,20.5,16.1
12-14-2012 1600,21.4,16.2
12-14-2012 1700,21.5,16.4
12-14-2012 1800,22.4,16.6
12-14-2012 1900,22.4,16.9
12-14-2012 2000,21.8,17.3
12-14-2012 2100,21.6,17.6
12-14-2012 2200,21.5,17.8
12-14-2012 2300,21.2,18
12-15-2012 0000,21,18.2
12-15-2012 0100,21,18.2
12-15-2012 0200,21.2,18.3
12-15-2012 0300,21.1,18.3
12-15-2012 0400,21.1,18.3
12-15-2012 0500,21.1,18.3
12-15-2012 0600,21,18.3
12-15-2012 0700,21,18.4
12-15-2012 0800,21.2,18.4
12-15-2012 0900,21,18.4
12-15-2012 1000,21.2,18.5
12-15-2012 1100,21.1,18.6
12-15-2012 1200,21.2,18.6
12-15-2012 1300,21,18.7
12-15-2012 1400,20.6,18.8
12-15-2012 1500,20.6,18.8
12-15-2012 1600,21.5,18.9
12-15-2012 1700,22.6,19
12-15-2012 1800,22.4,19.3
12-15-2012 1900,22.2,19.5
12-15-2012 2000,22.4,19.7
12-15-2012 2100,22.6,19.8
12-15-2012 2200,22.5,19.8
12-15-2012 2300,21.9,19.9
12-16-2012 0000,21.5,20
12-16-2012 0100,21.5,20
12-16-2012 0200,21.3,20
12-16-2012 0300,21.4,20
12-16-2012 0400,21.5,20
12-16-2012 0500,21.2,20
12-16-2012 0600,21.4,20
12-16-2012 0700,21.5,20
12-16-2012 0800,20.9,20
12-16-2012 0900,21.2,20.1
12-16-2012 1000,20.8,20.1
12-16-2012 1100,21.3,20.1
12-16-2012 1200,20.9,20.1
12-16-2012 1300,21.4,20.1
12-16-2012 1400,21.1,20.1
12-16-2012 1500,22,20.2
12-16-2012 1600,22.8,20.3
12-16-2012 1700,22.9,20.4
12-16-2012 1800,23.8,20.5
12-16-2012 1900,24.1,20.9
12-16-2012 2000,24.3,21.3
12-16-2012 2100,23.7,21.6
12-16-2012 2200,23.2,21.7
12-16-2012 2300,22.4,21.9
12-17-2012 0000,22.1,22
12-17-2012 0100,21.7,22
12-17-2012 0200,21.6,22
12-17-2012 0300,20.9,22
12-17-2012 0400,21.7,22
12-17-2012 0500,20.9,22
12-17-2012 0600,20.4,22.1
12-17-2012 0700,20.9,22.1
12-17-2012 0800,20.8,22.1
12-17-2012 0900,20.2,22
12-17-2012 1000,20,22
12-17-2012 1100,18.7,21.9
12-17-2012 1200,18.3,21.8
12-17-2012 1300,18,21.5
12-17-2012 1400,17.2,21.4
12-17-2012 1500,16.9,21.1
12-17-2012 1600,17.3,21
12-17-2012 1700,20.8,21
12-17-2012 1800,22.2,21.3
12-17-2012 1900,22.6,21.5
12-17-2012 2000,23.5,21.9
12-17-2012 2100,24,22.2
12-17-2012 2200,24.7,22.5
12-17-2012 2300,21.3,22.5
12-18-2012 0000,19.2,22.4
12-18-2012 0100,18.9,22.3
12-18-2012 0200,18.4,22.1
12-18-2012 0300,18.2,21.9
12-18-2012 0400,18.2,21.7
12-18-2012 0500,18.4,21.5
12-18-2012 0600,18.3,21.3
12-18-2012 0700,18.1,21.1
12-18-2012 0800,18.7,21
12-18-2012 0900,17.6,20.8
12-18-2012 1000,17,20.7
12-18-2012 1100,17.2,20.6
12-18-2012 1200,16.1,20.5
12-18-2012 1300,16.7,20.1
12-18-2012 1400,17.7,19.9
12-18-2012 1500,19.1,19.9
12-18-2012 1600,21.4,20
12-18-2012 1700,22.4,20.3
12-18-2012 1800,22.9,20.5
12-18-2012 1900,23.3,21.2
12-18-2012 2000,23,21.6
12-18-2012 2100,22.8,21.8
12-18-2012 2200,22.5,22.1
12-18-2012 2300,21.8,22.3
12-19-2012 0000,21.4,22.2
12-19-2012 0100,21.1,22.1
12-19-2012 0200,21.1,22.1
12-19-2012 0300,21,22
12-19-2012 0400,21.1,21.9
12-19-2012 0500,21.7,21.8
12-19-2012 0600,21.4,21.7
12-19-2012 0700,21.2,21.7
12-19-2012 0800,21.5,21.6
12-19-2012 0900,21.3,21.6
12-19-2012 1000,21.2,21.5
12-19-2012 1100,21.1,21.5
12-19-2012 1200,21.2,21.5
12-19-2012 1300,21.4,21.5
12-19-2012 1400,21.8,21.5
12-19-2012 1500,22.6,21.6
12-19-2012 1600,23.2,21.8
12-19-2012 1700,23.4,22.1
12-19-2012 1800,23.4,22.5
12-19-2012 1900,23.9,22.8
12-19-2012 2000,23.9,23.2
12-19-2012 2100,23.8,23.5
12-19-2012 2200,23.5,23.7
12-19-2012 2300,23.2,23.7
12-20-2012 0000,22.8,23.7
12-20-2012 0100,22.7,23.7
12-20-2012 0200,22.5,23.5
12-20-2012 0300,22.3,23.4
12-20-2012 0400,22.2,23.3
12-20-2012 0500,21.9,23.2
12-20-2012 0600,21.7,23
12-20-2012 0700,22.5,23
12-20-2012 0800,22.7,22.9
12-20-2012 0900,22.5,22.9
12-20-2012 1000,21.8,22.8
12-20-2012 1100,20.1,22.6
12-20-2012 1200,18.8,22.3
12-20-2012 1300,16.6,20.9
12-20-2012 1400,15.5,20.3
12-20-2012 1500,14,19.8
12-20-2012 1600,12.9,19.3
12-20-2012 1700,12.7,19.6
12-20-2012 1800,14.1,19.6
12-20-2012 1900,14.3,19.4
12-20-2012 2000,14.7,19.1
12-20-2012 2100,15.2,18.8
12-20-2012 2200,15.1,18.3
12-20-2012 2300,14.9,17.7
12-21-2012 0000,14.4,17.2
12-21-2012 0100,13.4,16.9
12-21-2012 0200,13.2,16.7
12-21-2012 0300,12,16.5
12-21-2012 0400,11.9,16.2
12-21-2012 0500,10.9,16
12-21-2012 0600,9.1,15.7
12-21-2012 0700,8.6,15.5
12-21-2012 0800,8.5,15.3
12-21-2012 0900,9.3,15.1
12-21-2012 1000,8.5,14.8
12-21-2012 1100,6.3,14.3
12-21-2012 1200,6,13.9
12-21-2012 1300,5.9,14.1
12-21-2012 1400,6.3,14.1
12-21-2012 1500,9.1,14.2
12-21-2012 1600,10.2,14.2
12-21-2012 1700,11.1,14.1
12-21-2012 1800,11.5,14
12-21-2012 1900,12.4,13.8
12-21-2012 2000,12.6,13.8
12-21-2012 2100,12.3,13.8
12-21-2012 2200,12.4,13.7
12-21-2012 2300,12.6,13.8
12-22-2012 0000,13,13.7
12-22-2012 0100,12.6,13.6
12-22-2012 0200,12.3,13.6
12-22-2012 0300,12.1,13.6
12-22-2012 0400,11.9,13.6
12-22-2012 0500,12.2,13.6
12-22-2012 0600,12.5,13.7
12-22-2012 0700,14.2,13.5
12-22-2012 0800,15.6,13.6
12-22-2012 0900,15.6,13.5
12-22-2012 1000,15.1,13.5
12-22-2012 1100,15.8,13.4
12-22-2012 1200,16.7,13.5
12-22-2012 1300,17.1,13.6
12-22-2012 1400,18.3,13.8
12-22-2012 1500,19.2,14.2
12-22-2012 1600,19.7,14.5
12-22-2012 1700,20.3,15
12-22-2012 1800,20.8,15.6
12-22-2012 1900,20.8,16.1
12-22-2012 2000,20.4,16.5
12-22-2012 2100,20.4,16.7
12-22-2012 2200,20.4,16.9
12-22-2012 2300,20.3,17.1
12-23-2012 0000,20.1,17.1
12-23-2012 0100,20.2,17.1
12-23-2012 0200,20.1,17.2
12-23-2012 0300,20.3,17.1
12-23-2012 0400,20.1,17.1
12-23-2012 0500,20,17
12-23-2012 0600,19.9,17
12-23-2012 0700,19.8,16.9
12-23-2012 0800,19.5,16.9
12-23-2012 0900,19,16.9
12-23-2012 1000,18.3,16.8
12-23-2012 1100,17.6,16.8
12-23-2012 1200,17.4,16.7
12-23-2012 1300,17.3,16.7
12-23-2012 1400,17.5,16.6
12-23-2012 1500,18.3,16.7
12-23-2012 1600,18,16.8
12-23-2012 1700,18.9,17.1
12-23-2012 1800,22.1,17.5
12-23-2012 1900,22.7,18
12-23-2012 2000,22.3,18.6
12-23-2012 2100,22.3,19.4
12-23-2012 2200,22.5,19.6
12-23-2012 2300,21.9,19.8
12-24-2012 0000,21.5,19.7
12-24-2012 0100,21.3,19.8
12-24-2012 0200,21.3,19.8
12-24-2012 0300,21.1,19.7
12-24-2012 0400,20.8,19.7
12-24-2012 0500,20.4,19.6
12-24-2012 0600,19.1,19.6
12-24-2012 0700,18.9,19.5
12-24-2012 0800,19.3,19.5
12-24-2012 0900,19.1,19.4
12-24-2012 1000,18.6,19.4
12-24-2012 1100,18.6,19.3
12-24-2012 1200,18.5,19.2
12-24-2012 1300,18.5,19
12-24-2012 1400,18.5,18.9
12-24-2012 1500,19,18.9
12-24-2012 1600,20.1,19.1
12-24-2012 1700,19.9,19.4
12-24-2012 1800,20.8,19.7
12-24-2012 1900,22.3,20
12-24-2012 2000,22.6,20.4
12-24-2012 2100,22.7,20.8
12-24-2012 2200,22,21
12-24-2012 2300,21.4,21.2
12-25-2012 0000,21,21.2
12-25-2012 0100,21.2,21.3
12-25-2012 0200,21.4,21.3
12-25-2012 0300,21.2,21.2
12-25-2012 0400,21,21.1
12-25-2012 0500,20.8,21
12-25-2012 0600,21.1,20.9
12-25-2012 0700,21.3,20.9
12-25-2012 0800,21.7,20.8
12-25-2012 0900,21.5,20.9
12-25-2012 1000,21.5,20.8
12-25-2012 1100,21.4,20.8
12-25-2012 1200,21,20.8
12-25-2012 1300,20.7,20.6
12-25-2012 1400,20.4,20.6
12-25-2012 1500,20.8,20.6
12-25-2012 1600,21.9,20.8
12-25-2012 1700,24,21.2
12-25-2012 1800,23.1,21.4
12-25-2012 1900,23.3,21.8
12-25-2012 2000,23.9,21.8
12-25-2012 2100,23.8,21.6
12-25-2012 2200,23.5,21.3
12-25-2012 2300,23.2,20.8
12-26-2012 0000,21.9,20.5
12-26-2012 0100,20.2,20.1
12-26-2012 0200,17.6,19.7
12-26-2012 0300,12,19
12-26-2012 0400,10.4,18.2
12-26-2012 0500,9.2,17.5
12-26-2012 0600,7.8,17.1
12-26-2012 0700,6.7,16.5
12-26-2012 0800,5.6,16
12-26-2012 0900,4.8,15.7
12-26-2012 1000,4.7,15.5
12-26-2012 1100,4.3,14.9
12-26-2012 1200,4.5,14.7
12-26-2012 1300,3.5,14.4
12-26-2012 1400,3.1,14
12-26-2012 1500,3.3,13.5
12-26-2012 1600,3.7,13.4
12-26-2012 1700,4.6,13.2
12-26-2012 1800,5,13.9
12-26-2012 1900,5.8,14.2
12-26-2012 2000,6.9,14.6
12-26-2012 2100,7.9,14.8
12-26-2012 2200,8.7,14.8
12-26-2012 2300,8.8,14.7
12-27-2012 0000,8.5,14.2
12-27-2012 0100,8.6,13.7
12-27-2012 0200,8.6,13.3
12-27-2012 0300,9.9,13.3
12-27-2012 0400,10.6,13.8
12-27-2012 0500,11.3,13.9
12-27-2012 0600,11.1,14
12-27-2012 0700,10.4,14.1
12-27-2012 0800,10.2,14.1
12-27-2012 0900,10.4,13.8
12-27-2012 1000,10.6,13.8
12-27-2012 1100,10.4,13.8
12-27-2012 1200,10.4,13.7
12-27-2012 1300,10.9,13.8
12-27-2012 1400,11.3,13.6
12-27-2012 1500,11.8,13.6
12-27-2012 1600,12.1,13.7
12-27-2012 1700,12.1,13.7
12-27-2012 1800,12.5,13.7
12-27-2012 1900,12.5,13.7
12-27-2012 2000,12.7,13.7
12-27-2012 2100,12.7,13.8
12-27-2012 2200,13,13.9
12-27-2012 2300,13.2,13.9
12-28-2012 0000,13.4,14
12-28-2012 0100,13.5,14
12-28-2012 0200,13.6,14.2
12-28-2012 0300,13.5,14.3
12-28-2012 0400,13.6,14.3
12-28-2012 0500,13.4,14.3
12-28-2012 0600,13.3,14.3
12-28-2012 0700,13.1,14.2
12-28-2012 0800,12.8,14.2
12-28-2012 0900,12.6,14.2
12-28-2012 1000,12.4,14.1
12-28-2012 1100,12.9,14.2
12-28-2012 1200,13.1,14.2
12-28-2012 1300,13.5,14.3
12-28-2012 1400,13.6,14.4
12-28-2012 1500,13.9,14.4
12-28-2012 1600,15.1,14.6
12-28-2012 1700,16.2,14.8
12-28-2012 1800,16.4,15.2
12-28-2012 1900,16.7,15.7
12-28-2012 2000,17.5,16.2
12-28-2012 2100,18,16.4
12-28-2012 2200,18.4,16.6
12-28-2012 2300,18.4,16.7
12-29-2012 0000,17.3,16.6
12-29-2012 0100,17.2,16.4
12-29-2012 0200,16.4,16.4
12-29-2012 0300,16.1,16.2
12-29-2012 0400,14.1,16
12-29-2012 0500,12.6,15.9
12-29-2012 0600,10.6,15.7
12-29-2012 0700,9.8,15.5
12-29-2012 0800,8.7,15.1
12-29-2012 0900,8.1,14.6
12-29-2012 1000,7.2,13.9
12-29-2012 1100,7,13.5
12-29-2012 1200,6.5,12.9
12-29-2012 1300,6.4,12.9
12-29-2012 1400,6.4,13
12-29-2012 1500,6.3,12.8
12-29-2012 1600,6.4,12.5
12-29-2012 1700,7.7,12.5
12-29-2012 1800,7.5,13
12-29-2012 1900,8.2,13.5
12-29-2012 2000,8.6,13.5
12-29-2012 2100,9.5,13.5
12-29-2012 2200,10.4,13.6
12-29-2012 2300,11.1,13.7
12-30-2012 0000,11.5,13.5
12-30-2012 0100,11.3,13.3
12-30-2012 0200,11.1,13
12-30-2012 0300,10.8,12.9
12-30-2012 0400,10.4,12.7
12-30-2012 0500,9.8,12.4
12-30-2012 0600,9.6,12.1
12-30-2012 0700,9.6,11.9
12-30-2012 0800,9.3,11.7
12-30-2012 0900,9.2,11.5
12-30-2012 1000,9.2,11.3
12-30-2012 1100,9.4,11.2
12-30-2012 1200,9.7,11.1
12-30-2012 1300,9.3,10.9
12-30-2012 1400,9.5,10.8
12-30-2012 1500,9.7,10.6
12-30-2012 1600,14.8,10.6
12-30-2012 1700,13,11.2
12-30-2012 1800,11.5,11.7
12-30-2012 1900,11.3,11.9
12-30-2012 2000,13,12.3
12-30-2012 2100,17.3,12.6
12-30-2012 2200,17.6,13
12-30-2012 2300,17.6,13.3
12-31-2012 0000,17.9,13.4
12-31-2012 0100,18.2,13.6
12-31-2012 0200,18.3,13.7
12-31-2012 0300,18.6,13.8
12-31-2012 0400,18.5,13.9
12-31-2012 0500,17.9,14
12-31-2012 0600,18.6,14.1
12-31-2012 0700,18.9,14
12-31-2012 0800,19.3,14.1
12-31-2012 0900,18.4,14.1
12-31-2012 1000,19.1,14.1
12-31-2012 1100,19.1,14.1
12-31-2012 1200,19.4,14.2
12-31-2012 1300,19.4,14.2
12-31-2012 1400,18.4,14.4
12-31-2012 1500,16.9,14.5
12-31-2012 1600,18.6,14.5
12-31-2012 1700,17.7,14.6
12-31-2012 1800,19.2,14.8
12-31-2012 1900,19.6,14.9
12-31-2012 2000,19.8,15.1
12-31-2012 2100,20.2,15.5
12-31-2012 2200,20.8,15.6
12-31-2012 2300,20.2,15.8
01-01-2013 0000,20.2,15.9
01-01-2013 0100,20,16
01-01-2013 0200,18.8,16.1
01-01-2013 0300,19.3,16.2
01-01-2013 0400,19.2,16.5
01-01-2013 0500,19.6,16.7
01-01-2013 0600,19.7,16.7
01-01-2013 0700,19.7,16.6
01-01-2013 0800,20,16.6
01-01-2013 0900,19.3,16.5
01-01-2013 1000,19.4,16.5
01-01-2013 1100,20.3,16.5
01-01-2013 1200,19.6,16.5
01-01-2013 1300,19,16.5
01-01-2013 1400,18.1,16.4
01-01-2013 1500,18.2,16.5
01-01-2013 1600,15.4,16.5
01-01-2013 1700,14.5,16.5
01-01-2013 1800,14.3,16.5
01-01-2013 1900,14.3,16.6
01-01-2013 2000,14.2,16.7
01-01-2013 2100,14.4,16.9
01-01-2013 2200,14,17
01-01-2013 2300,14,16.7
01-02-2013 0000,14.2,16.5
01-02-2013 0100,14.1,16.5
01-02-2013 0200,13.9,16.4
01-02-2013 0300,13.5,16.1
01-02-2013 0400,13,16
01-02-2013 0500,11.7,15.8
01-02-2013 0600,10.8,15.4
01-02-2013 0700,10.8,15.3
01-02-2013 0800,10.6,15.1
01-02-2013 0900,10.1,15
01-02-2013 1000,9.6,14.7
01-02-2013 1100,9.3,14.4
01-02-2013 1200,9,14.1
01-02-2013 1300,8.5,13.9
01-02-2013 1400,7.8,13.6
01-02-2013 1500,7.4,13.4
01-02-2013 1600,6.9,13.2
01-02-2013 1700,6.9,13.2
01-02-2013 1800,6.5,13
01-02-2013 1900,6.1,13
01-02-2013 2000,6.1,12.7
01-02-2013 2100,6.4,12.8
01-02-2013 2200,6.7,12.9
01-02-2013 2300,6.4,12.7
01-03-2013 0000,6.1,12.5
01-03-2013 0100,6.2,12.2
01-03-2013 0200,6.5,11.9
01-03-2013 0300,6.5,11.6
01-03-2013 0400,6.7,11.4
01-03-2013 0500,6.6,11.3
01-03-2013 0600,6.9,11.2
01-03-2013 0700,7.2,11.1
01-03-2013 0800,7.3,10.8
01-03-2013 0900,7.3,10.7
01-03-2013 1000,7.3,10.6
01-03-2013 1100,7.5,10.4
01-03-2013 1200,7.2,10.2
01-03-2013 1300,7.2,10
01-03-2013 1400,7.2,10
01-03-2013 1500,7.3,10.2
01-03-2013 1600,7.2,10.1
01-03-2013 1700,7.3,10.3
01-03-2013 1800,7.4,10.4
01-03-2013 1900,7.4,10.5
01-03-2013 2000,7.9,10.5
01-03-2013 2100,8.3,10.5
01-03-2013 2200,8.8,10.6
01-03-2013 2300,9,10.6
01-04-2013 0000,9.2,10.7
01-04-2013 0100,9.2,10.7
01-04-2013 0200,9.6,10.6
01-04-2013 0300,9.5,10.5
01-04-2013 0400,9.3,10.5
01-04-2013 0500,9.4,10.4
01-04-2013 0600,9.3,10.2
01-04-2013 0700,9.2,10.2
01-04-2013 0800,9,10.2
01-04-2013 0900,8.8,10.2
01-04-2013 1000,8.9,10.2
01-04-2013 1100,8.7,10.1
01-04-2013 1200,8.9,10.1
01-04-2013 1300,8.1,10.1
01-04-2013 1400,7.6,10
01-04-2013 1500,7.4,10
01-04-2013 1600,7.6,10
01-04-2013 1700,9.1,10
01-04-2013 1800,9.4,10.1
01-04-2013 1900,9.3,10.2
01-04-2013 2000,9.3,10.3
01-04-2013 2100,9.2,10.5
01-04-2013 2200,9.5,10.6
01-04-2013 2300,9.6,10.6
01-05-2013 0000,9.8,10.6
01-05-2013 0100,9.8,10.5
01-05-2013 0200,9.7,10.5
01-05-2013 0300,9.4,10.5
01-05-2013 0400,9.4,10.6
01-05-2013 0500,9.3,10.7
01-05-2013 0600,9.3,10.7
01-05-2013 0700,9.2,10.6
01-05-2013 0800,8.8,10.6
01-05-2013 0900,8.6,10.6
01-05-2013 1000,8.3,10.6
01-05-2013 1100,8.4,10.5
01-05-2013 1200,8,10.5
01-05-2013 1300,7.9,10.4
01-05-2013 1400,7.5,10.3
01-05-2013 1500,7.8,10.3
01-05-2013 1600,7.9,10.2
01-05-2013 1700,7.7,10.2
01-05-2013 1800,7.4,10.3
01-05-2013 1900,7.5,10.3
01-05-2013 2000,8.2,10.4
01-05-2013 2100,8.6,10.5
01-05-2013 2200,8.7,10.6
01-05-2013 2300,9,10.7
01-06-2013 0000,9.1,10.7
01-06-2013 0100,9.3,10.7
01-06-2013 0200,9.3,10.7
01-06-2013 0300,9.4,10.7
01-06-2013 0400,9.5,10.7
01-06-2013 0500,9.5,10.7
01-06-2013 0600,9.6,10.7
01-06-2013 0700,9.5,10.7
01-06-2013 0800,9.1,10.6
01-06-2013 0900,9.4,10.6
01-06-2013 1000,8.8,10.6
01-06-2013 1100,8.1,10.5
01-06-2013 1200,7.8,10.5
01-06-2013 1300,7.3,10.5
01-06-2013 1400,7.3,10.4
01-06-2013 1500,8.2,10.4
01-06-2013 1600,9.5,10.4
01-06-2013 1700,10.5,10.6
01-06-2013 1800,10.3,11
01-06-2013 1900,12.4,11.4
01-06-2013 2000,13.1,11.9
01-06-2013 2100,14,12.2
01-06-2013 2200,13.7,12.5
01-06-2013 2300,13.5,12.9
01-07-2013 0000,12.7,13
01-07-2013 0100,12.2,13
01-07-2013 0200,11.9,12.9
01-07-2013 0300,11.9,12.8
01-07-2013 0400,11.8,12.7
01-07-2013 0500,11.6,12.6
01-07-2013 0600,11.2,12.4
01-07-2013 0700,11.1,12.1
01-07-2013 0800,10.5,12
01-07-2013 0900,10.7,11.8
01-07-2013 1000,9.1,11.8
01-07-2013 1100,8.4,11.9
01-07-2013 1200,10.3,11.9
01-07-2013 1300,9.3,11.9
01-07-2013 1400,9.9,11.9
01-07-2013 1500,10,11.9
01-07-2013 1600,10.8,12
01-07-2013 1700,10.9,12.2
01-07-2013 1800,11.5,12.5
01-07-2013 1900,11.9,12.9
01-07-2013 2000,14,13.5
01-07-2013 2100,14.3,13.8
01-07-2013 2200,14.6,14.1
01-07-2013 2300,14.7,14.2
01-08-2013 0000,14.5,14.2
