datetime,atp,wtp
10-15-2012 1100,25.8,27.8
10-15-2012 1200,25.8,27.7
10-15-2012 1300,25.8,27.6
10-15-2012 1400,25.7,27.5
10-15-2012 1500,25.5,27.5
10-15-2012 1600,26,27.5
10-15-2012 1700,25.7,27.6
10-15-2012 1800,26.5,27.8
10-15-2012 1900,26.7,28
10-15-2012 2000,26.7,28.3
10-15-2012 2100,26.7,28.6
10-15-2012 2200,26.4,28.9
10-15-2012 2300,26,29
10-16-2012 0000,25.6,29.1
10-16-2012 0100,25.5,29.1
10-16-2012 0200,25.6,29
10-16-2012 0300,25.7,28.9
10-16-2012 0400,25.5,28.8
10-16-2012 0500,25.4,28.6
10-16-2012 0600,25.7,28.5
10-16-2012 0700,25.9,28.3
10-16-2012 0800,25.9,28.1
10-16-2012 0900,25.7,28
10-16-2012 1000,25.7,27.8
10-16-2012 1100,25.8,27.7
10-16-2012 1200,25.8,27.6
10-16-2012 1300,25.5,27.6
10-16-2012 1400,24.7,27.5
10-16-2012 1500,26.1,27.4
10-16-2012 1600,26.5,27.5
10-16-2012 1700,26.9,27.6
10-16-2012 1800,27.3,27.9
10-16-2012 1900,28.1,28.1
10-16-2012 2000,28.3,28.5
10-16-2012 2100,27.6,28.8
10-16-2012 2200,27.4,29
10-16-2012 2300,27.2,29.1
10-17-2012 0000,27.2,29.1
10-17-2012 0100,26.9,29.1
10-17-2012 0200,27,29
10-17-2012 0300,26.9,28.9
10-17-2012 0400,26.8,28.8
10-17-2012 0500,26.8,28.6
10-17-2012 0600,26.9,28.5
10-17-2012 0700,26.9,28.3
10-17-2012 0800,26.9,28.1
10-17-2012 0900,26.5,27.9
10-17-2012 1000,26.2,27.9
10-17-2012 1100,26.3,27.8
10-17-2012 1200,26,27.7
10-17-2012 1300,26.2,27.8
10-17-2012 1400,26.7,27.8
10-17-2012 1500,27.4,27.6
10-17-2012 1600,27.9,27.6
10-17-2012 1700,28.1,27.9
10-17-2012 1800,28.7,28.1
10-17-2012 1900,29.5,28.4
10-17-2012 2000,29.4,28.7
10-17-2012 2100,29.4,29.1
10-17-2012 2200,29.1,29.2
10-17-2012 2300,28.7,29.3
10-18-2012 0000,28,29.4
10-18-2012 0100,27.8,29.4
10-18-2012 0200,27.7,29.3
10-18-2012 0300,27.7,29.1
10-18-2012 0400,27.3,28.9
10-18-2012 0500,27.2,28.7
10-18-2012 0600,26.9,28.6
10-18-2012 0700,26.6,28.4
10-18-2012 0800,26.7,28.2
10-18-2012 0900,26.5,28.1
10-18-2012 1000,26.5,28.1
10-18-2012 1100,25.7,28.1
10-18-2012 1200,25.7,28.1
10-18-2012 1300,25.7,28
10-18-2012 1400,26.5,28
10-18-2012 1500,27.5,28
10-18-2012 1600,27.3,28.1
10-18-2012 1700,28.1,28.3
10-18-2012 1800,28.4,28.5
10-18-2012 1900,28.3,28.9
10-18-2012 2000,28.3,29.1
10-18-2012 2100,28.4,29.4
10-18-2012 2200,26.5,29.6
10-18-2012 2300,26.2,29.6
10-19-2012 0000,25.9,29.5
10-19-2012 0100,25.8,29.4
10-19-2012 0200,25.6,29.2
10-19-2012 0300,25.5,29
10-19-2012 0400,25.6,28.8
10-19-2012 0500,25.8,28.5
10-19-2012 0600,25.5,28.2
10-19-2012 0700,25.4,28
10-19-2012 0800,24.7,27.7
10-19-2012 0900,24.1,27.5
10-19-2012 1000,23.9,27.2
10-19-2012 1100,24.3,27
10-19-2012 1200,24.4,26.8
10-19-2012 1300,24.2,26.4
10-19-2012 1400,24.7,26
10-19-2012 1500,25.4,25.8
10-19-2012 1600,25.2,25.7
10-19-2012 1700,25.8,25.9
10-19-2012 1800,25.5,26.2
10-19-2012 1900,25.8,26.6
10-19-2012 2000,26.1,26.8
10-19-2012 2100,26,27.1
10-19-2012 2200,26,27.3
10-19-2012 2300,26.2,27.3
10-20-2012 0000,25.7,27.3
10-20-2012 0100,25.4,27.1
10-20-2012 0200,25.3,26.9
10-20-2012 0300,25.3,26.8
10-20-2012 0400,25.1,26.7
10-20-2012 0500,25.3,26.6
10-20-2012 0600,25.6,26.5
10-20-2012 0700,25.7,26.4
10-20-2012 0800,25.8,26.3
10-20-2012 0900,25.8,26.3
10-20-2012 1000,25.7,26.2
10-20-2012 1100,25.6,26.2
10-20-2012 1200,25.8,26.2
10-20-2012 1300,26,26.1
10-20-2012 1400,26.9,26.1
10-20-2012 1500,27.5,26.1
10-20-2012 1600,27.9,26.4
10-20-2012 1700,28.1,26.7
10-20-2012 1800,28.1,27.2
10-20-2012 1900,28.5,27.8
10-20-2012 2000,28.4,28.2
10-20-2012 2100,28.2,28.3
10-20-2012 2200,28.1,28.5
10-20-2012 2300,27.8,28.5
10-21-2012 0000,27.3,28.5
10-21-2012 0100,27.2,28.5
10-21-2012 0200,27.1,28.5
10-21-2012 0300,27,28.4
10-21-2012 0400,26.9,28.3
10-21-2012 0500,26.9,28.2
10-21-2012 0600,26.8,28.1
10-21-2012 0700,26.9,27.9
10-21-2012 0800,26.7,27.8
10-21-2012 0900,26.8,27.7
10-21-2012 1000,26.7,27.5
10-21-2012 1100,26.6,27.4
10-21-2012 1200,26.6,27.3
10-21-2012 1300,26.6,27.1
10-21-2012 1400,27.4,27.1
10-21-2012 1500,27.8,27
10-21-2012 1600,28.2,27.2
10-21-2012 1700,28.2,27.4
10-21-2012 1800,28.7,27.8
10-21-2012 1900,28.5,28.3
10-21-2012 2000,28.7,28.5
10-21-2012 2100,28.6,28.8
10-21-2012 2200,28.2,29
10-21-2012 2300,27.8,29.2
10-22-2012 0000,27.2,29.2
10-22-2012 0100,27.1,29.3
10-22-2012 0200,27.1,29.2
10-22-2012 0300,27,29.1
10-22-2012 0400,27,28.8
10-22-2012 0500,26.7,28.6
10-22-2012 0600,26.7,28.4
10-22-2012 0700,26.9,28.3
10-22-2012 0800,27,28.2
10-22-2012 0900,26.7,28.1
10-22-2012 1000,26.7,28
10-22-2012 1100,26.4,27.9
10-22-2012 1200,26.2,27.9
10-22-2012 1300,26.6,27.8
10-22-2012 1400,26.9,27.7
10-22-2012 1500,27.5,27.6
10-22-2012 1600,27.9,27.7
10-22-2012 1700,28.2,27.9
10-22-2012 1800,28.2,28.2
10-22-2012 1900,28.5,28.5
10-22-2012 2000,28.3,28.9
10-22-2012 2100,28.3,29.1
10-22-2012 2200,28,29.2
10-22-2012 2300,28.1,29.2
10-23-2012 0000,27.2,29.3
10-23-2012 0100,27,29.2
10-23-2012 0200,26.7,29.1
10-23-2012 0300,26.6,28.9
10-23-2012 0400,26.6,28.7
10-23-2012 0500,26.5,28.5
10-23-2012 0600,26.5,28.3
10-23-2012 0700,26.6,28
10-23-2012 0800,26.3,27.8
10-23-2012 0900,26.5,27.6
10-23-2012 1000,26.3,27.4
10-23-2012 1100,26.2,27.3
10-23-2012 1200,26.1,27.2
10-23-2012 1300,26.3,27.1
10-23-2012 1400,27,26.9
10-23-2012 1500,27.3,26.8
10-23-2012 1600,27.6,26.9
10-23-2012 1700,27.8,27
10-23-2012 1800,27.9,27.2
10-23-2012 1900,27.9,27.6
10-23-2012 2000,27.6,27.9
10-23-2012 2100,27.7,28.3
10-23-2012 2200,27.5,28.6
10-23-2012 2300,27.3,28.8
10-24-2012 0000,26.5,28.8
10-24-2012 0100,26.3,28.6
10-24-2012 0200,26.1,28.4
10-24-2012 0300,26.1,28.3
10-24-2012 0400,25.9,28.2
10-24-2012 0500,26,28.1
10-24-2012 0600,25.8,27.9
10-24-2012 0700,25.8,27.7
10-24-2012 0800,25.7,27.5
10-24-2012 0900,25.8,27.3
10-24-2012 1000,25.6,27.2
10-24-2012 1100,25.3,27.1
10-24-2012 1200,25.4,27
10-24-2012 1300,25.8,26.8
10-24-2012 1400,26.8,26.8
10-24-2012 1500,27.1,26.8
10-24-2012 1600,27.4,26.9
10-24-2012 1700,27.3,27.1
10-24-2012 1800,27.7,27.3
10-24-2012 1900,27.7,27.7
10-24-2012 2000,27.8,28
